"Freq [GHz]","o [mm]","w [mm]","mag(S(2:1,1)) []","mag(S(2:2,1)) []","mag(S(2:2,2:1)) []","ang_rad(S(2:1,2:1)) [rad]","ang_rad(S(2:2,2:2)) [rad]","partialMagS(2:1,1,w) []","partialMagS(2:2,1,w) []","partialMagS(2:2,2:1,w) []","partialMagS(2:1,1,o) []","partialMagS(2:2,1,o) []","partialMagS(2:2,2:1,o) []","ang_rad(S(1,1)) [rad]","partialPhaseS(1,1,w) []"
10,1,8,0.195533387211803,0.0250651301306436,0.0314456286336556,2.89056119938377,3.13091000111058,0.0739641054040366,0.00930367129036103,0.00914629048635552,-0.00129708844342313,0.0249640846614732,0.0311830842552881,2.79105807987034,-0.105640311784102
10,1,8.28571428571429,0.218663884575826,0.0280172974607837,0.0343763987545942,2.86622149451387,3.1294124604464,0.0791515264059149,0.00991832802802643,0.00959033319102977,-0.00135383682462811,0.0278463789155405,0.0340150299803907,2.75798473879737,-0.112064218998434
10,1,8.57142857142857,0.241585129847024,0.0309515060087519,0.0373215748757191,2.84263889373311,3.12795187880187,0.0837091162351385,0.0104753827650984,0.010034925066119,-0.00161998680540935,0.0306961109715334,0.0367359953963051,2.72550227324826,-0.117680980870712
10,1,8.85714285714286,0.266591017687715,0.034023858373233,0.0400878867665596,2.8170720498533,3.12637871609477,0.0885941981450944,0.0110064854173843,0.0103905096516529,-0.00169607036596273,0.0337890916665772,0.0396469645684958,2.6899810347786,-0.124135927086289
10,1,9.14285714285714,0.29256643237295,0.0372786810880584,0.0432665384545573,2.79005069545411,3.12458022047328,0.0929110730332688,0.0115106472849693,0.0107666285596832,-0.0019148837250865,0.0369789502223453,0.0426648680664601,2.65415601857301,-0.129914218257641
10,1,9.42857142857143,0.319657874402237,0.0404805999821289,0.0461721542978789,2.7624326409911,3.12276425802376,0.0971858476541435,0.0120425279266002,0.0112204456023168,-0.00231189708246708,0.0403072096433539,0.0457249702622062,2.61554069915115,-0.136107578125167
10,1,9.71428571428571,0.347518297618702,0.0441502493516578,0.0496076409143086,2.7336170120941,3.12071130598592,0.100722646942677,0.012301730512006,0.0111969414374837,-0.00226988428450558,0.0437364944534022,0.0488884500429788,2.57668874596321,-0.141452913588969
10,1,10,0.376643346787372,0.0475442097364875,0.0526347043620022,2.70367456892615,3.11865373364009,0.104600365643423,0.0126358138986219,0.01134681819963,-0.00269774295137938,0.0472114003303676,0.0520005911026222,2.53548120679794,-0.148117902250597
10,1.21428571428571,8,0.195518742424794,0.0304887217614422,0.0381559387129149,2.89109908639536,3.12906909064835,0.07418267907956,0.0113237404997428,0.011127727296939,-0.00142980045656308,0.0248547414273047,0.0308880738391384,2.79007033299369,-0.106062540264593
10,1.21428571428571,8.28571428571429,0.217669419871123,0.0338203802453187,0.0415017342776079,2.86787558186437,3.1275383271925,0.0789352326251517,0.0120169237619932,0.0116494738506572,-0.001693996436121,0.0275834981957271,0.033546910564231,2.75892260122032,-0.111946694450597
